# Fighters 
 fighter_equipment_0:0 "Fighter '33"
 jet_fighter_equipment_4_desc:0 "Fighters are the backbone of any air force. They are used to achieve air superiority, engage enemy bombers and fighters. They are all-rounders, being able to fulfill any mission given to them, but excelling at none in particular."
 jet_fighter_equipment_5:0 "Supersonic Fighter '58"
 jet_fighter_equipment_5_short:0 "Jet Fighter '58"
 jet_fighter_equipment_5_desc:0 "Fighters are the backbone of any air force. They are used to achieve air superiority, engage enemy bombers and fighters. They are all-rounders, being able to fulfill any mission given to them, but excelling at none in particular."
 jet_fighter_equipment_6:0 "Supersonic Fighter '62"
 jet_fighter_equipment_6_short:0 "Jet Fighter '62"
 jet_fighter_equipment_6_desc:0 "Fighters are the backbone of any air force. They are used to achieve air superiority, engage enemy bombers and fighters. They are all-rounders, being able to fulfill any mission given to them, but excelling at none in particular."

# Interceptors
 interceptor_equipment:0 "Interceptor"
 interceptor_equipment_0:0 "Interceptor '33"
 interceptor_equipment_0_short:0 "Interceptor '33"
 interceptor_equipment_0_desc:0 "Interceptors are short-range fighters designed to destroy enemy bombers. They have high speed and good manouverability to make them agile enough to evade the machine guns of the bombers, while having the firepower needed to disable a heavy, armoured bomber.  Against enemy fighters, they are less effective yet they still put up a good fight."
 interceptor_equipment_1:0 "Interceptor '36"
 interceptor_equipment_1_short:0 "Interceptor '36"
 interceptor_equipment_1_desc:0 "Interceptors are short-range fighters designed to destroy enemy bombers. They have high speed and good manouverability to make them agile enough to evade the machine guns of the bombers, while having the firepower needed to disable a heavy, armoured bomber.  Against enemy fighters, they are less effective yet they still put up a good fight."
 interceptor_equipment_2:0 "Interceptor '40"
 interceptor_equipment_2_short:0 "Interceptor '40"
 interceptor_equipment_2_desc:0 "Interceptors are short-range fighters designed to destroy enemy bombers. They have high speed and good manouverability to make them agile enough to evade the machine guns of the bombers, while having the firepower needed to disable a heavy, armoured bomber.  Against enemy fighters, they are less effective yet they still put up a good fight."
 interceptor_equipment_3:0 "Interceptor '43"
 interceptor_equipment_3_short:0 "Interceptor '43"
 interceptor_equipment_3_desc:0 "Interceptors are short-range fighters designed to destroy enemy bombers. They have high speed and good manouverability to make them agile enough to evade the machine guns of the bombers, while having the firepower needed to disable a heavy, armoured bomber.  Against enemy fighters, they are less effective yet they still put up a good fight."
 jet_interceptor_equipment:0 "Jet Interceptor"
 jet_interceptor_equipment_1:0 "Turbojet Interceptor '45"
 jet_interceptor_equipment_1_short:0 "Jet Interceptor '45"
 jet_interceptor_equipment_1_desc:0 "Interceptors are short-range fighters designed to destroy enemy bombers. They have high speed and good manouverability to make them agile enough to evade the machine guns of the bombers, while having the firepower needed to disable a heavy, armoured bomber.  Against enemy fighters, they are less effective yet they still put up a good fight."
 jet_interceptor_equipment_2:0 "Turbojet Interceptor '47"
 jet_interceptor_equipment_2_short:0 "Jet Interceptor '47"
 jet_interceptor_equipment_2_desc:0 "Interceptors are short-range fighters designed to destroy enemy bombers. They have high speed and good manouverability to make them agile enough to evade the machine guns of the bombers, while having the firepower needed to disable a heavy, armoured bomber.  Against enemy fighters, they are less effective yet they still put up a good fight."
 jet_interceptor_equipment_3:0 "Supersonic Interceptor '50"
 jet_interceptor_equipment_3_short:0 "Jet Interceptor '50"
 jet_interceptor_equipment_3_desc:0 "Interceptors are short-range fighters designed to destroy enemy bombers. They have high speed and good manouverability to make them agile enough to evade the machine guns of the bombers, while having the firepower needed to disable a heavy, armoured bomber.  Against enemy fighters, they are less effective yet they still put up a good fight."
 jet_interceptor_equipment_4:0 "Supersonic Interceptor '54"
 jet_interceptor_equipment_4_short:0 "Jet Interceptor '54" 
 jet_interceptor_equipment_4_desc:0 "Interceptors are short-range fighters designed to destroy enemy bombers. They have high speed and good manouverability to make them agile enough to evade the machine guns of the bombers, while having the firepower needed to disable a heavy, armoured bomber.  Against enemy fighters, they are less effective yet they still put up a good fight."
 jet_interceptor_equipment_5:0 "Supersonic Interceptor '58"
 jet_interceptor_equipment_5_short:0 "Jet Interceptor '58"
 jet_interceptor_equipment_5_desc:0 "Interceptors are short-range fighters designed to destroy enemy bombers. They have high speed and good manouverability to make them agile enough to evade the machine guns of the bombers, while having the firepower needed to disable a heavy, armoured bomber.  Against enemy fighters, they are less effective yet they still put up a good fight."
 jet_interceptor_equipment_6:0 "Supersonic Interceptor '62"
 jet_interceptor_equipment_6_short:0 "Jet Interceptor '62"
 jet_interceptor_equipment_6_desc:0 "Interceptors are short-range fighters designed to destroy enemy bombers. They have high speed and good manouverability to make them agile enough to evade the machine guns of the bombers, while having the firepower needed to disable a heavy, armoured bomber.  Against enemy fighters, they are less effective yet they still put up a good fight."

# Close Air Support
 CAS_equipment:0 "Close Air Support"
 CAS_equipment_0:0 "Close Air Support '33"
 CAS_equipment_0_short:0 "CAS '33"
 CAS_equipment_0_desc:0 "Close Air Support is the key to the blitzkrieg tactic. These planes have the ability to strike precisely at enemy units, enabling your ground forces to achieve a rapid breakthrough. They are slow, sturdy planes and this makes them an easy target for enemy fighters."
 CAS_equipment_1:0 "Close Air Support '36"
 CAS_equipment_1_short:0 "CAS '36"
 CAS_equipment_1_desc:0 "Close Air Support is the key to the blitzkrieg tactic. These planes have the ability to strike precisely at enemy units, enabling your ground forces to achieve a rapid breakthrough. They are slow, sturdy planes and this makes them an easy target for enemy fighters."
 CAS_equipment_2:0 "Close Air Support '40"
 CAS_equipment_2_short:0 "CAS '40"
 CAS_equipment_2_desc:0 "Close Air Support is the key to the blitzkrieg tactic. These planes have the ability to strike precisely at enemy units, enabling your ground forces to achieve a rapid breakthrough. They are slow, sturdy planes and this makes them an easy target for enemy fighters."
 CAS_equipment_3:0 "Close Air Support '43"
 CAS_equipment_3_short:0 "CAS '43"
 CAS_equipment_3_desc:0 "Close Air Support is the key to the blitzkrieg tactic. These planes have the ability to strike precisely at enemy units, enabling your ground forces to achieve a rapid breakthrough. They are slow, sturdy planes and this makes them an easy target for enemy fighters."
 CAS_equipment_4:0 "Close Air Support '45"
 CAS_equipment_4_short:0 "CAS '45"
 CAS_equipment_4_desc:0 "Close Air Support is the key to the blitzkrieg tactic. These planes have the ability to strike precisely at enemy units, enabling your ground forces to achieve a rapid breakthrough. They are slow, sturdy planes and this makes them an easy target for enemy fighters."
 jet_CAS_equipment:0 "Jet Close Air Support"
 jet_CAS_equipment_1:0 "Jet Close Air Support '47"
 jet_CAS_equipment_1_short:0 "Jet CAS '47"
 jet_CAS_equipment_1_desc:0 "Close Air Support is the key to the blitzkrieg tactic. These planes have the ability to strike precisely at enemy units, enabling your ground forces to achieve a rapid breakthrough. They are slow, sturdy planes and this makes them an easy target for enemy fighters."
 jet_CAS_equipment_2:0 "Jet Close Air Support '54"
 jet_CAS_equipment_2_short:0 "Jet CAS '54"
 jet_CAS_equipment_2_desc:0 "Close Air Support is the key to the blitzkrieg tactic. These planes have the ability to strike precisely at enemy units, enabling your ground forces to achieve a rapid breakthrough. They are slow, sturdy planes and this makes them an easy target for enemy fighters."

# Heavy Fighters
 heavy_fighter_equipment:0 "Heavy Fighter"
 heavy_fighter_equipment_1:0 "Heavy Fighter '36"
 heavy_fighter_equipment_1_short:0 "Heavy Fighter '36"
 heavy_fighter_equipment_1_desc:0 "Heavy Fighters are long-range fighters, designed to escort bombers and keep enemy interceptors from the bombers. They are drilled in tactics to achieve this mission and receive a bonus when escorting bombers. In Air Superiority missions, they are less effective."
 heavy_fighter_equipment_2:0 "Heavy Fighter '40"
 heavy_fighter_equipment_2_short:0 "Heavy Fighter '40"
 heavy_fighter_equipment_1_desc:0 "Heavy Fighters are long-range fighters, designed to escort bombers and keep enemy interceptors from the bombers. They are drilled in tactics to achieve this mission and receive a bonus when escorting bombers. In Air Superiority missions, they are less effective."
 heavy_fighter_equipment_3:0 "Heavy Fighter '43"
 heavy_fighter_equipment_3_short:0 "Heavy Fighter '43"
 heavy_fighter_equipment_1_desc:0 "Heavy Fighters are long-range fighters, designed to escort bombers and keep enemy interceptors from the bombers. They are drilled in tactics to achieve this mission and receive a bonus when escorting bombers. In Air Superiority missions, they are less effective."
 heavy_fighter_equipment_4:0 "Heavy Fighter '45"
 heavy_fighter_equipment_4_short:0 "Heavy Fighter '45"
 heavy_fighter_equipment_1_desc:0 "Heavy Fighters are long-range fighters, designed to escort bombers and keep enemy interceptors from the bombers. They are drilled in tactics to achieve this mission and receive a bonus when escorting bombers. In Air Superiority missions, they are less effective."
 jet_heavy_fighter_equipment_1:0 "Turbojet Heavy Fighter '47"
 jet_heavy_fighter_equipment_1_short:0 "Jet Heavy Fighter '47"
 jet_heavy_fighter_equipment_1_desc:0 "Heavy Fighters are long-range fighters, designed to escort bombers and keep enemy interceptors from the bombers. They are drilled in tactics to achieve this mission and receive a bonus when escorting bombers. In Air Superiority missions, they are less effective."
 jet_heavy_fighter_equipment_2:0 "Turbojet Heavy Fighter '50"
 jet_heavy_fighter_equipment_2_short:0 "Jet Heavy Fighter '50"
 jet_heavy_fighter_equipment_2_desc:0 "Heavy Fighters are long-range fighters, designed to escort bombers and keep enemy interceptors from the bombers. They are drilled in tactics to achieve this mission and receive a bonus when escorting bombers. In Air Superiority missions, they are less effective."
 jet_heavy_fighter_equipment_3:0 "Supersonic Heavy Fighter '54"
 jet_heavy_fighter_equipment_3_short:0 "Jet Heavy Fighter '54"
 jet_heavy_fighter_equipment_3_desc:0 "Heavy Fighters are long-range fighters, designed to escort bombers and keep enemy interceptors from the bombers. They are drilled in tactics to achieve this mission and receive a bonus when escorting bombers. In Air Superiority missions, they are less effective."
 jet_heavy_fighter_equipment_4:0 "Supersonic Heavy Fighter '58"
 jet_heavy_fighter_equipment_4_short:0 "Jet Heavy Fighter '58"
 jet_heavy_fighter_equipment_4_desc:0 "Heavy Fighters are long-range fighters, designed to escort bombers and keep enemy interceptors from the bombers. They are drilled in tactics to achieve this mission and receive a bonus when escorting bombers. In Air Superiority missions, they are less effective."
 jet_heavy_fighter_equipment_5:0 "Supersonic Heavy Fighter '62"
 jet_heavy_fighter_equipment_5_short:0 "Jet Heavy Fighter '62"
 jet_heavy_fighter_equipment_5_desc:0 "Heavy Fighters are long-range fighters, designed to escort bombers and keep enemy interceptors from the bombers. They are drilled in tactics to achieve this mission and receive a bonus when escorting bombers. In Air Superiority missions, they are less effective."
 
# Strategic Bombers
 strat_bomber_equipment_1:0 "Strategic Bomber '36"
 strat_bomber_equipment_1_short:0 "Strat Bomber '36"
 strat_bomber_equipment_1_desc:0 "Strategic Bombers are the heaviest type of aircraft, designed to deliver a large payload of bombs to enemy provinces, with the aim of crippling his industry and infrastructure. However, the Strategic Bomber is slow despite its long range, which can make it vulnerable to attack by fighters."
 strat_bomber_equipment_2:0 "Strategic Bomber '40"
 strat_bomber_equipment_2_short:0 "Strat Bomber '40"
 strat_bomber_equipment_2_desc:0 "Strategic Bombers are the heaviest type of aircraft, designed to deliver a large payload of bombs to enemy provinces, with the aim of crippling his industry and infrastructure. However, the Strategic Bomber is slow despite its long range, which can make it vulnerable to attack by fighters."
 strat_bomber_equipment_3:0 "Strategic Bomber '43"
 strat_bomber_equipment_3_short:0 "Strat Bomber '43"
 strat_bomber_equipment_3_desc:0 "Strategic Bombers are the heaviest type of aircraft, designed to deliver a large payload of bombs to enemy provinces, with the aim of crippling his industry and infrastructure. However, the Strategic Bomber is slow despite its long range, which can make it vulnerable to attack by fighters."
 strat_bomber_equipment_4:0 "Strategic Bomber '45"
 strat_bomber_equipment_4_short:0 "Strat Bomber '45"
 strat_bomber_equipment_4_desc:0 "Strategic Bombers are the heaviest type of aircraft, designed to deliver a large payload of bombs to enemy provinces, with the aim of crippling his industry and infrastructure. However, the Strategic Bomber is slow despite its long range, which can make it vulnerable to attack by fighters."
 jet_strat_bomber_equipment_1:0 "Strategic Bomber '50"
 jet_strat_bomber_equipment_1_short:0 "Strat Bomber '50"
 jet_strat_bomber_equipment_1_desc:0 "Strategic Bombers are the heaviest type of aircraft, designed to deliver a large payload of bombs to enemy provinces, with the aim of crippling his industry and infrastructure. However, the Strategic Bomber is slow despite its long range, which can make it vulnerable to attack by fighters."
 jet_strat_bomber_equipment_2:0 "Turbojet Strategic Bomber '54"
 jet_strat_bomber_equipment_2_short:0 "Jet Strat Bomber '54"
 jet_strat_bomber_equipment_2_desc:0 "Strategic Bombers are the heaviest type of aircraft, designed to deliver a large payload of bombs to enemy provinces, with the aim of crippling his industry and infrastructure. However, the Strategic Bomber is slow despite its long range, which can make it vulnerable to attack by fighters."
 jet_strat_bomber_equipment_3:0 "Intercontinental  Strategic Bomber '58"
 jet_strat_bomber_equipment_3_short:0 "Inter. Strat Bomber '58"
 jet_strat_bomber_equipment_3_desc:0 "Strategic Bombers are the heaviest type of aircraft, designed to deliver a large payload of bombs to enemy provinces, with the aim of crippling his industry and infrastructure. However, the Strategic Bomber is slow despite its long range, which can make it vulnerable to attack by fighters."
 jet_strat_bomber_equipment_4:0 "Intercontinental  Strategic Bomber '62"
 jet_strat_bomber_equipment_4_short:0 "Inter. Strat Bomber '62"
 jet_strat_bomber_equipment_4_desc:0 "Strategic Bombers are the heaviest type of aircraft, designed to deliver a large payload of bombs to enemy provinces, with the aim of crippling his industry and infrastructure. However, the Strategic Bomber is slow despite its long range, which can make it vulnerable to attack by fighters."
 
# Tactical Bombers
 tac_bomber_equipment:0 "Tactical Bomber"
 tac_bomber_equipment_0:0 "Interwar Bomber '33"
 tac_bomber_equipment_0_short:0 " Tactical Bomber '33"
 tac_bomber_equipment_0_desc:0 "Tactical Bombers are medium-sized aircraft, larger than Fighters, yet smaller than Strategic Bombers, which are used primarily for delivering attacks against enemy ground units such as Armour and Infantry.  Although they have a limited dog-fighting capability, they can be easily outmatched by Fighters in air combat."
 tac_bomber_equipment_1:0 "Tactical Bomber '36"
 tac_bomber_equipment_1_short:0 "Tac Bomber '36"
 tac_bomber_equipment_1_desc:0 "Tactical Bombers are medium-sized aircraft, larger than Fighters, yet smaller than Strategic Bombers, which are used primarily for delivering attacks against enemy ground units such as Armour and Infantry.  Although they have a limited dog-fighting capability, they can be easily outmatched by Fighters in air combat."
 tac_bomber_equipment_2:0 "Tactical Bomber '40"
 tac_bomber_equipment_2_short:0 "Tac Bomber '40"
 tac_bomber_equipment_2_desc:0 "Tactical Bombers are medium-sized aircraft, larger than Fighters, yet smaller than Strategic Bombers, which are used primarily for delivering attacks against enemy ground units such as Armour and Infantry.  Although they have a limited dog-fighting capability, they can be easily outmatched by Fighters in air combat."
 tac_bomber_equipment_3:0 "Tactical Bomber '43"
 tac_bomber_equipment_3_short:0 "Tac Bomber '43"
 tac_bomber_equipment_3_desc:0 "Tactical Bombers are medium-sized aircraft, larger than Fighters, yet smaller than Strategic Bombers, which are used primarily for delivering attacks against enemy ground units such as Armour and Infantry.  Although they have a limited dog-fighting capability, they can be easily outmatched by Fighters in air combat."
 jet_tac_bomber_equipment_1:0 "Turbojet Tactical Bomber '45"
 jet_tac_bomber_equipment_1_short:0 "Jet Tac Bomber '45"
 jet_tac_bomber_equipment_1desc:0 "Tactical Bombers are medium-sized aircraft, larger than Fighters, yet smaller than Strategic Bombers, which are used primarily for delivering attacks against enemy ground units such as Armour and Infantry.  Although they have a limited dog-fighting capability, they can be easily outmatched by Fighters in air combat."
 jet_tac_bomber_equipment_2:0 "Turbojet Tactical Bomber '50"
 jet_tac_bomber_equipment_2_short:0 "Jet Tac Bomber '50"
 jet_tac_bomber_equipment_2_desc:0 "Tactical Bombers are medium-sized aircraft, larger than Fighters, yet smaller than Strategic Bombers, which are used primarily for delivering attacks against enemy ground units such as Armour and Infantry.  Although they have a limited dog-fighting capability, they can be easily outmatched by Fighters in air combat."
 jet_tac_bomber_equipment_3:0 "Turbojet Tactical Bomber '54"
 jet_tac_bomber_equipment_3_short:0 "Jet Tac Bomber '54"
 jet_tac_bomber_equipment_3_desc:0 "Tactical Bombers are medium-sized aircraft, larger than Fighters, yet smaller than Strategic Bombers, which are used primarily for delivering attacks against enemy ground units such as Armour and Infantry.  Although they have a limited dog-fighting capability, they can be easily outmatched by Fighters in air combat."
 jet_tac_bomber_equipment_4:0 "Turbojet Tactical Bomber '58"
 jet_tac_bomber_equipment_4_short:0 "Jet Tac Bomber '58"
 jet_tac_bomber_equipment_4_desc:0 "Tactical Bombers are medium-sized aircraft, larger than Fighters, yet smaller than Strategic Bombers, which are used primarily for delivering attacks against enemy ground units such as Armour and Infantry.  Although they have a limited dog-fighting capability, they can be easily outmatched by Fighters in air combat."
 
# Naval Bombers
 nav_bomber_equipment:0 "Naval Bomber"
 nav_bomber_equipment_1:0 "Naval Bomber '36"
 nav_bomber_equipment_1_short:0 "Naval Bomber '36"
 nav_bomber_equipment_1_desc:0 "The Naval Bomber is designed for use over water and make accurate tactical strikes against enemy surface vessels using torpedoes or armour-piercing bombs.  They have a limited dog-fighting capability, which makes them vulnerable if intercepted by fighters."
 nav_bomber_equipment_2:0 "Naval Bomber '40"
 nav_bomber_equipment_2_short:0 "Naval Bomber '40"
 nav_bomber_equipment_2_desc:0 "The Naval Bomber is designed for use over water and make accurate tactical strikes against enemy surface vessels using torpedoes or armour-piercing bombs.  They have a limited dog-fighting capability, which makes them vulnerable if intercepted by fighters."
 nav_bomber_equipment_3:0 "Naval Bomber '43"
 nav_bomber_equipment_3_short:0 "Naval Bomber '43"
 nav_bomber_equipment_3_desc:0 "The Naval Bomber is designed for use over water and make accurate tactical strikes against enemy surface vessels using torpedoes or armour-piercing bombs.  They have a limited dog-fighting capability, which makes them vulnerable if intercepted by fighters."
 nav_bomber_equipment_4:0 "Naval Bomber '45"
 nav_bomber_equipment_4_short:0 "Naval Bomber '45"
 nav_bomber_equipment_4_desc:0 "The Naval Bomber is designed for use over water and make accurate tactical strikes against enemy surface vessels using torpedoes or armour-piercing bombs.  They have a limited dog-fighting capability, which makes them vulnerable if intercepted by fighters."
 nav_bomber_equipment_5:0 "Maritime Patrol Aircraft '50"
 nav_bomber_equipment_5_short:0 "MPA '50"
 nav_bomber_equipment_5desc:0 "The Naval Bomber is designed for use over water and make accurate tactical strikes against enemy surface vessels using torpedoes or armour-piercing bombs.  They have a limited dog-fighting capability, which makes them vulnerable if intercepted by fighters."
 nav_bomber_equipment_6:0 "Maritime Patrol Aircraft '54"
 nav_bomber_equipment_6_short:0 "MPA '54"
 nav_bomber_equipment_3_desc:0 "The Naval Bomber is designed for use over water and make accurate tactical strikes against enemy surface vessels using torpedoes or armour-piercing bombs.  They have a limited dog-fighting capability, which makes them vulnerable if intercepted by fighters."
 nav_bomber_equipment_7:0 "Maritime Patrol Aircraft '62"
 nav_bomber_equipment_7_short:0 "MPA '62"
 nav_bomber_equipment_7_desc:0 "The Naval Bomber is designed for use over water and make accurate tactical strikes against enemy surface vessels using torpedoes or armour-piercing bombs.  They have a limited dog-fighting capability, which makes them vulnerable if intercepted by fighters."
 
# Transport Planes 
 transport_plane_equipment:0 "Transport Plane"
 transport_plane_equipment_1:0 "Transport Plane I"
 transport_plane_equipment_1_short:0 "Transport"
 transport_plane_equipment_1_desc:0 "§LPlanes used to transport troops on paradrop missions.§!"

# CV Fighters
	cv_fighter_equipment_0 = 1
	cv_fighter_equipment_1 = 1
	cv_fighter_equipment_2 = 1
	cv_fighter_equipment_3 = 1
	cv_fighter_equipment_4 = 1
	cv_fighter_equipment_5 = 1
	cv_fighter_equipment_6 = 1
	cv_fighter_equipment_7 = 1
	 
# CV Close Air Support
	cv_CAS_equipment_0 = 1
	cv_CAS_equipment_1 = 1
	cv_CAS_equipment_2 = 1
	cv_CAS_equipment_3 = 1
 
# CV Torpedo Bombers
 cv_nav_bomber_equipment_1 = 1
 cv_nav_bomber_equipment_2 = 1
 cv_nav_bomber_equipment_3 = 1
 cv_nav_bomber_equipment_4 = 1
 
 # Rocket Interceptors
 rocket_interceptor_equipment_1:0 "Rocket Interceptor '41"
 rocket_interceptor_equipment_2:0 "Rocket Interceptor '43"
 rocket_interceptor_equipment_3:0 "Rocket Interceptor '46"

 # Suicide Craft
 rocket_suicide_equipment_1:0 "Rocket-powered Kamikaze Attack Aircraft"
